box,category,sub_category,details,color
P,clothes,sweater,"long sleeve, crew neck, pullover","light blue"
P,clothes,cardigan,"long sleeve, crew neck","kelly green"
P,clothes,sweater,"heavy, button up","forest green"
P,clothes,cardigan,"long sleeve, flowy","olive green"
P,clothes,shirt,"long sleeve, v-neck","olive green"
P,clothes,cardigan,"3/4 length sleeve, crew neck, button down","purple"
P,clothes,blouse,"3/4 length sleeve, v-neck, sheer","pale pink"
P,clothes,shirt,"long sleeve, cowl neck","pale pink"
P,clothes,blouse,"3/4 length sleeved, sheer","pale pink, leopard print"
P,clothes,blouse,"sheer","salmon"
P,clothes,cardigan,"long sleeve, button down, crew neck","pale pink"
P,clothes,blouse,"3/4 length sleeve","bright pink, leopard print"
P,clothes,blouse,"long sleeve, high collar, sheer","robin's egg blue"
P,clothes,blouse,"3/4 length sleeve, crew neck, button down","light beige"
P,clothes,sweater,"long sleeve, scoop neck","beige with black cat"
P,clothes,cardigan,"long sleeve, button down, crew neck","brown"
P,clothes,blazer,"long sleeve","beige and white"
P,clothes,shirt,"3/4 length, boat neck","beige with white horizontal stripes"
P,clothes,sweater,"long sleeve, sheer","white"
P,clothes,sweater,"long sleeve, heavy","dark grey"
P,clothes,cardigan,"long sleeve","black"
P,clothes,shirt,"loose, 3/4 length sleeve, scoop neck","black and white stripes"
P,clothes,shirt,"tight, 3/4 length sleeves, scoop neck","black and white stripes"
P,clothes,cardigan,"long sleeve","light grey"
P,clothes,shirt,"v-neck, crop top","pale pink with chinese girl"
P,clothes,shirt,"v-neck, silk top","bright pink"
P,clothes,t-shirt,"v-neck","purple"
P,clothes,shirt,"scoop neck, crop top","pale pink with swan"
P,clothes,t-shirt,"v-neck","robin's egg blue"
P,clothes,shirt,"v-neck, sleeveless","navy blue"
P,clothes,t-shirt,"scoop neck","olive green"
P,clothes,t-shirt,"scoop neck","olive green with shear black bottom"
P,clothes,shirt,"long sleeve, scoop neck","light grey"
P,clothes,hoodie,"long sleeve","light grey with 'ce soir'"
P,clothes,blouse,"scoop neck, silk","leopard print with black back"
P,clothes,shirt,"sleevless, scoop neck silk","purple, gold, white, and black print"
P,clothes,blouse,"scoop neck","black with holes and decorations"
P,clothes,t-shirt,"v-neck","off white with gold designs"
P,clothes,t-shirt,"scoop neck, long","beige with white and black elephants"
P,clothes,t-shirt,"crew neck","grey with 'nope'"
P,clothes,blouse,"scoop neck, sheer","beige with rhinestones"
P,clothes,t-shirt,"v-neck, long","grey with white gem art"
P,clothes,t-shirt,"boat neck, long","grey with 'no vacancies'"
P,clothes,t-shirt,"v-neck","grey with small breast pocket"
P,clothes,t-shirt,"scoop neck, off-shoulder sleeves, long","grey patterns"
P,clothes,blouse,"button down, v-neck, sleeveless, sheer","leopard print"
P,clothes,blouse,"scoop/v-neck, sleeveless","black with white patterns"
P,clothes,blouse,"scoop/v-neck, sleeveless, sheer","white with black lace designs"
P,clothes,blouse,"scoop/v-neck, sleeveless, sheer","white with black lines and dots"
P,clothes,blouse,"scoop/v-neck, sleeveless, sheer","white with colorful flowers"
P,clothes,skirt,"high-waisted, below knee, silk","olive with bronze hardwear"
P,clothes,pants,"bootcut, business, for flats","black"
